dataset,fold,repeat,method,scenario,scenario_score
tep,0,0,WDI-1NN,spurious_events,0.5404358974358975
tep,0,0,WDI-1NN,timing_uncertainty,0.5719294871794871
tep,1,0,ACM-SVM,late_time_delay,0.48794871794871797
tep,1,0,ACM-SVM,missing_events,0.4998653846153846
tep,1,0,ACM-SVM,mixed_missing_spurious,0.38259615384615386
tep,1,0,ACM-SVM,mixed_spurious_timing_late,0.34974358974358977
tep,1,0,ACM-SVM,spurious_events,0.3560064102564103
tep,1,0,ACM-SVM,timing_uncertainty,0.5900705128205128
tep,1,0,CASIM-prefix,late_time_delay,0.5273717948717949
tep,1,0,CASIM-prefix,missing_events,0.7559358974358974
tep,1,0,CASIM-prefix,mixed_missing_spurious,0.7418333333333333
tep,1,0,CASIM-prefix,mixed_spurious_timing_late,0.5002307692307693
tep,1,0,CASIM-prefix,spurious_events,0.8439166666666666
tep,1,0,CASIM-prefix,timing_uncertainty,0.9310641025641027
tep,1,0,EAC-1NN,late_time_delay,0.7834615384615385
tep,1,0,EAC-1NN,missing_events,0.7405576923076923
tep,1,0,EAC-1NN,mixed_missing_spurious,0.6903846153846154
tep,1,0,EAC-1NN,mixed_spurious_timing_late,0.7160897435897435
tep,1,0,EAC-1NN,spurious_events,0.7240128205128205
tep,1,0,EAC-1NN,timing_uncertainty,0.789673076923077
tep,1,0,JAC-1NN,late_time_delay,0.6668589743589745
tep,1,0,JAC-1NN,missing_events,0.7336858974358974
tep,1,0,JAC-1NN,mixed_missing_spurious,0.688698717948718
tep,1,0,JAC-1NN,mixed_spurious_timing_late,0.647474358974359
tep,1,0,JAC-1NN,spurious_events,0.667923076923077
tep,1,0,JAC-1NN,timing_uncertainty,0.8308974358974358
tep,1,0,MBW-LR,late_time_delay,0.7684615384615385
tep,1,0,MBW-LR,missing_events,0.770801282051282
tep,1,0,MBW-LR,mixed_missing_spurious,0.6429487179487179
tep,1,0,MBW-LR,mixed_spurious_timing_late,0.636
tep,1,0,MBW-LR,spurious_events,0.6200641025641025
tep,1,0,MBW-LR,timing_uncertainty,0.8467435897435898
tep,1,0,WDI-1NN,late_time_delay,0.5414743589743589
tep,1,0,WDI-1NN,missing_events,0.5427115384615384
tep,1,0,WDI-1NN,mixed_missing_spurious,0.5345
tep,1,0,WDI-1NN,mixed_spurious_timing_late,0.525525641025641
tep,1,0,WDI-1NN,spurious_events,0.5697820512820513
tep,1,0,WDI-1NN,timing_uncertainty,0.6117435897435898
tep,2,0,ACM-SVM,late_time_delay,0.5272435897435898
tep,2,0,ACM-SVM,missing_events,0.5220833333333333
tep,2,0,ACM-SVM,mixed_missing_spurious,0.39366666666666666
tep,2,0,ACM-SVM,mixed_spurious_timing_late,0.3570192307692307
tep,2,0,ACM-SVM,spurious_events,0.37133974358974353
tep,2,0,ACM-SVM,timing_uncertainty,0.6080897435897435
tep,2,0,CASIM-prefix,late_time_delay,0.5577564102564103
tep,2,0,CASIM-prefix,missing_events,0.769
tep,2,0,CASIM-prefix,mixed_missing_spurious,0.7356666666666667
tep,2,0,CASIM-prefix,mixed_spurious_timing_late,0.5024935897435897
tep,2,0,CASIM-prefix,spurious_events,0.8196410256410256
tep,2,0,CASIM-prefix,timing_uncertainty,0.9329102564102564
tep,2,0,EAC-1NN,late_time_delay,0.7811538461538462
tep,2,0,EAC-1NN,missing_events,0.733724358974359
tep,2,0,EAC-1NN,mixed_missing_spurious,0.6869102564102564
tep,2,0,EAC-1NN,mixed_spurious_timing_late,0.714525641025641
tep,2,0,EAC-1NN,spurious_events,0.7298717948717949
tep,2,0,EAC-1NN,timing_uncertainty,0.7811410256410257
tep,2,0,JAC-1NN,late_time_delay,0.6494230769230769
tep,2,0,JAC-1NN,missing_events,0.7258461538461538
tep,2,0,JAC-1NN,mixed_missing_spurious,0.6795384615384615
tep,2,0,JAC-1NN,mixed_spurious_timing_late,0.6388525641025642
tep,2,0,JAC-1NN,spurious_events,0.6662371794871795
tep,2,0,JAC-1NN,timing_uncertainty,0.8251923076923077
tep,2,0,MBW-LR,late_time_delay,0.7510897435897436
tep,2,0,MBW-LR,missing_events,0.7618589743589743
tep,2,0,MBW-LR,mixed_missing_spurious,0.6395
tep,2,0,MBW-LR,mixed_spurious_timing_late,0.6253910256410257
tep,2,0,MBW-LR,spurious_events,0.6253076923076922
tep,2,0,MBW-LR,timing_uncertainty,0.8370320512820513
tep,2,0,WDI-1NN,late_time_delay,0.5269871794871794
tep,2,0,WDI-1NN,missing_events,0.5470448717948717
tep,2,0,WDI-1NN,mixed_missing_spurious,0.537724358974359
tep,2,0,WDI-1NN,mixed_spurious_timing_late,0.5238717948717949
tep,2,0,WDI-1NN,spurious_events,0.5763910256410256
tep,2,0,WDI-1NN,timing_uncertainty,0.6243076923076922
tep,3,0,ACM-SVM,late_time_delay,0.5123076923076924
tep,3,0,ACM-SVM,missing_events,0.5110448717948718
tep,3,0,ACM-SVM,mixed_missing_spurious,0.38746153846153847
tep,3,0,ACM-SVM,mixed_spurious_timing_late,0.3545448717948718
tep,3,0,ACM-SVM,spurious_events,0.36605128205128207
tep,3,0,ACM-SVM,timing_uncertainty,0.5962948717948718
tep,3,0,CASIM-prefix,late_time_delay,0.507051282051282
tep,3,0,CASIM-prefix,missing_events,0.7380448717948718
tep,3,0,CASIM-prefix,mixed_missing_spurious,0.7184871794871796
tep,3,0,CASIM-prefix,mixed_spurious_timing_late,0.4841346153846154
tep,3,0,CASIM-prefix,spurious_events,0.8155961538461539
tep,3,0,CASIM-prefix,timing_uncertainty,0.9273525641025641
tep,3,0,EAC-1NN,late_time_delay,0.7830128205128205
tep,3,0,EAC-1NN,missing_events,0.7210641025641026
tep,3,0,EAC-1NN,mixed_missing_spurious,0.6740961538461538
tep,3,0,EAC-1NN,mixed_spurious_timing_late,0.7102179487179487
tep,3,0,EAC-1NN,spurious_events,0.7152179487179487
tep,3,0,EAC-1NN,timing_uncertainty,0.7706666666666666
tep,3,0,JAC-1NN,late_time_delay,0.6240384615384615
tep,3,0,JAC-1NN,missing_events,0.6887692307692308
tep,3,0,JAC-1NN,mixed_missing_spurious,0.6516217948717948
tep,3,0,JAC-1NN,mixed_spurious_timing_late,0.614275641025641
tep,3,0,JAC-1NN,spurious_events,0.6446858974358975
tep,3,0,JAC-1NN,timing_uncertainty,0.7935064102564102
tep,3,0,MBW-LR,late_time_delay,0.7563461538461538
tep,3,0,MBW-LR,missing_events,0.7677564102564103
tep,3,0,MBW-LR,mixed_missing_spurious,0.6378333333333333
tep,3,0,MBW-LR,mixed_spurious_timing_late,0.6358525641025642
tep,3,0,MBW-LR,spurious_events,0.6215961538461539
tep,3,0,MBW-LR,timing_uncertainty,0.8447948717948718
tep,3,0,WDI-1NN,late_time_delay,0.548525641025641
tep,3,0,WDI-1NN,missing_events,0.5565128205128205
tep,3,0,WDI-1NN,mixed_missing_spurious,0.5426858974358975
tep,3,0,WDI-1NN,mixed_spurious_timing_late,0.5381410256410256
tep,3,0,WDI-1NN,spurious_events,0.5797948717948718
tep,3,0,WDI-1NN,timing_uncertainty,0.6310769230769231
tep,4,0,ACM-SVM,late_time_delay,0.5107051282051281
tep,4,0,ACM-SVM,missing_events,0.5225576923076922
tep,4,0,ACM-SVM,mixed_missing_spurious,0.39506410256410257
tep,4,0,ACM-SVM,mixed_spurious_timing_late,0.3591153846153846
tep,4,0,ACM-SVM,spurious_events,0.37451923076923077
tep,4,0,ACM-SVM,timing_uncertainty,0.6144551282051283
tep,4,0,CASIM-prefix,late_time_delay,0.530448717948718
tep,4,0,CASIM-prefix,missing_events,0.7443397435897435
tep,4,0,CASIM-prefix,mixed_missing_spurious,0.7157115384615385
tep,4,0,CASIM-prefix,mixed_spurious_timing_late,0.48962820512820515
tep,4,0,CASIM-prefix,spurious_events,0.8180192307692308
tep,4,0,CASIM-prefix,timing_uncertainty,0.9336346153846153
tep,4,0,EAC-1NN,late_time_delay,0.8007692307692308
tep,4,0,EAC-1NN,missing_events,0.7446923076923078
tep,4,0,EAC-1NN,mixed_missing_spurious,0.6965769230769231
tep,4,0,EAC-1NN,mixed_spurious_timing_late,0.7231666666666666
tep,4,0,EAC-1NN,spurious_events,0.729448717948718
tep,4,0,EAC-1NN,timing_uncertainty,0.7902499999999999
tep,4,0,JAC-1NN,late_time_delay,0.6416666666666667
tep,4,0,JAC-1NN,missing_events,0.7275897435897437
tep,4,0,JAC-1NN,mixed_missing_spurious,0.6862948717948718
tep,4,0,JAC-1NN,mixed_spurious_timing_late,0.632673076923077
tep,4,0,JAC-1NN,spurious_events,0.671128205128205
tep,4,0,JAC-1NN,timing_uncertainty,0.8327371794871794
tep,4,0,MBW-LR,late_time_delay,0.7712820512820513
tep,4,0,MBW-LR,missing_events,0.7858205128205129
tep,4,0,MBW-LR,mixed_missing_spurious,0.6572948717948718
tep,4,0,MBW-LR,mixed_spurious_timing_late,0.6428846153846154
tep,4,0,MBW-LR,spurious_events,0.6391858974358975
tep,4,0,MBW-LR,timing_uncertainty,0.8636025641025641
tep,4,0,WDI-1NN,late_time_delay,0.5509615384615384
tep,4,0,WDI-1NN,missing_events,0.5598910256410257
tep,4,0,WDI-1NN,mixed_missing_spurious,0.5455769230769231
tep,4,0,WDI-1NN,mixed_spurious_timing_late,0.530147435897436
tep,4,0,WDI-1NN,spurious_events,0.5829807692307692
tep,4,0,WDI-1NN,timing_uncertainty,0.6357948717948717
