dataset,fold,repeat,method,scenario,scenario_score
fcc,1,0,CASIM-prefix,missing_events,0.7104006410256409
fcc,1,0,CASIM-prefix,mixed_missing_spurious,0.6653685897435898
fcc,1,0,CASIM-prefix,mixed_spurious_timing_late,0.22518830128205128
fcc,1,0,CASIM-prefix,spurious_events,0.8761137820512821
fcc,1,0,CASIM-prefix,timing_uncertainty,0.9561057692307693
fcc,1,0,EAC-1NN,late_time_delay,0.35793269230769226
fcc,1,0,EAC-1NN,missing_events,0.7453205128205128
fcc,1,0,EAC-1NN,mixed_missing_spurious,0.7216947115384615
fcc,1,0,EAC-1NN,mixed_spurious_timing_late,0.3202684294871795
fcc,1,0,EAC-1NN,spurious_events,0.9020873397435897
fcc,1,0,EAC-1NN,timing_uncertainty,0.9142548076923076
fcc,1,0,JAC-1NN,late_time_delay,0.3424679487179487
fcc,1,0,JAC-1NN,missing_events,0.6919391025641026
fcc,1,0,JAC-1NN,mixed_missing_spurious,0.683681891025641
fcc,1,0,JAC-1NN,mixed_spurious_timing_late,0.3125040064102564
fcc,1,0,JAC-1NN,spurious_events,0.8625
fcc,1,0,JAC-1NN,timing_uncertainty,0.8731770833333333
fcc,1,0,MBW-LR,late_time_delay,0.2592548076923077
fcc,1,0,MBW-LR,missing_events,0.7580488782051282
fcc,1,0,MBW-LR,mixed_missing_spurious,0.7067227564102564
fcc,1,0,MBW-LR,mixed_spurious_timing_late,0.22971554487179488
fcc,1,0,MBW-LR,spurious_events,0.8857772435897436
fcc,1,0,MBW-LR,timing_uncertainty,0.9324599358974358
fcc,1,0,WDI-1NN,late_time_delay,0.20176282051282052
fcc,1,0,WDI-1NN,missing_events,0.37569711538461537
fcc,1,0,WDI-1NN,mixed_missing_spurious,0.37496794871794875
fcc,1,0,WDI-1NN,mixed_spurious_timing_late,0.19918669871794872
fcc,1,0,WDI-1NN,spurious_events,0.5752123397435898
fcc,1,0,WDI-1NN,timing_uncertainty,0.590244391025641
fcc,2,0,ACM-SVM,late_time_delay,0.1590544871794872
fcc,2,0,ACM-SVM,missing_events,0.36918669871794874
fcc,2,0,ACM-SVM,mixed_missing_spurious,0.32354567307692306
fcc,2,0,ACM-SVM,mixed_spurious_timing_late,0.15544871794871795
fcc,2,0,ACM-SVM,spurious_events,0.44390625
fcc,2,0,ACM-SVM,timing_uncertainty,0.6735016025641026
fcc,2,0,CASIM-prefix,late_time_delay,0.23177083333333334
fcc,2,0,CASIM-prefix,missing_events,0.7144591346153846
fcc,2,0,CASIM-prefix,mixed_missing_spurious,0.6605288461538462
fcc,2,0,CASIM-prefix,mixed_spurious_timing_late,0.2208653846153846
fcc,2,0,CASIM-prefix,spurious_events,0.8616025641025641
fcc,2,0,CASIM-prefix,timing_uncertainty,0.9580689102564103
fcc,2,0,EAC-1NN,late_time_delay,0.3614182692307693
fcc,2,0,EAC-1NN,missing_events,0.735068108974359
fcc,2,0,EAC-1NN,mixed_missing_spurious,0.709619391025641
fcc,2,0,EAC-1NN,mixed_spurious_timing_late,0.321542467948718
fcc,2,0,EAC-1NN,spurious_events,0.8927163461538462
fcc,2,0,EAC-1NN,timing_uncertainty,0.9036578525641026
fcc,2,0,JAC-1NN,late_time_delay,0.3479166666666667
fcc,2,0,JAC-1NN,missing_events,0.6856049679487181
fcc,2,0,JAC-1NN,mixed_missing_spurious,0.6737860576923077
fcc,2,0,JAC-1NN,mixed_spurious_timing_late,0.31155048076923075
fcc,2,0,JAC-1NN,spurious_events,0.8526522435897436
fcc,2,0,JAC-1NN,timing_uncertainty,0.8660336538461538
fcc,2,0,MBW-LR,late_time_delay,0.24963942307692305
fcc,2,0,MBW-LR,missing_events,0.7602604166666667
fcc,2,0,MBW-LR,mixed_missing_spurious,0.7063020833333333
fcc,2,0,MBW-LR,mixed_spurious_timing_late,0.21829326923076925
fcc,2,0,MBW-LR,spurious_events,0.8769831730769231
fcc,2,0,MBW-LR,timing_uncertainty,0.930673076923077
fcc,2,0,WDI-1NN,late_time_delay,0.1981570512820513
fcc,2,0,WDI-1NN,missing_events,0.36615785256410255
fcc,2,0,WDI-1NN,mixed_missing_spurious,0.3672435897435898
fcc,2,0,WDI-1NN,mixed_spurious_timing_late,0.19302483974358975
fcc,2,0,WDI-1NN,spurious_events,0.5570753205128205
fcc,2,0,WDI-1NN,timing_uncertainty,0.5730088141025641
fcc,3,0,ACM-SVM,late_time_delay,0.15929487179487178
fcc,3,0,ACM-SVM,missing_events,0.3704447115384616
fcc,3,0,ACM-SVM,mixed_missing_spurious,0.32467147435897437
fcc,3,0,ACM-SVM,mixed_spurious_timing_late,0.15428685897435898
fcc,3,0,ACM-SVM,spurious_events,0.4194911858974359
fcc,3,0,ACM-SVM,timing_uncertainty,0.6693429487179487
fcc,3,0,CASIM-prefix,late_time_delay,0.23329326923076923
fcc,3,0,CASIM-prefix,missing_events,0.7027483974358975
fcc,3,0,CASIM-prefix,mixed_missing_spurious,0.6480448717948717
fcc,3,0,CASIM-prefix,mixed_spurious_timing_late,0.2205528846153846
fcc,3,0,CASIM-prefix,spurious_events,0.8489423076923076
fcc,3,0,CASIM-prefix,timing_uncertainty,0.940761217948718
fcc,3,0,EAC-1NN,late_time_delay,0.3703525641025641
fcc,3,0,EAC-1NN,missing_events,0.7551121794871795
fcc,3,0,EAC-1NN,mixed_missing_spurious,0.731298076923077
fcc,3,0,EAC-1NN,mixed_spurious_timing_late,0.32897435897435895
fcc,3,0,EAC-1NN,spurious_events,0.9076322115384615
fcc,3,0,EAC-1NN,timing_uncertainty,0.9204687500000001
fcc,3,0,JAC-1NN,late_time_delay,0.35813301282051285
fcc,3,0,JAC-1NN,missing_events,0.6950000000000001
fcc,3,0,JAC-1NN,mixed_missing_spurious,0.6874198717948719
fcc,3,0,JAC-1NN,mixed_spurious_timing_late,0.32341746794871795
fcc,3,0,JAC-1NN,spurious_events,0.8611738782051283
fcc,3,0,JAC-1NN,timing_uncertainty,0.8723397435897435
fcc,3,0,MBW-LR,late_time_delay,0.2562099358974359
fcc,3,0,MBW-LR,missing_events,0.7642668269230769
fcc,3,0,MBW-LR,mixed_missing_spurious,0.7163381410256411
fcc,3,0,MBW-LR,mixed_spurious_timing_late,0.2259054487179487
fcc,3,0,MBW-LR,spurious_events,0.8874078525641025
fcc,3,0,MBW-LR,timing_uncertainty,0.9352003205128205
fcc,3,0,WDI-1NN,late_time_delay,0.2265224358974359
fcc,3,0,WDI-1NN,missing_events,0.39247195512820515
fcc,3,0,WDI-1NN,mixed_missing_spurious,0.3934775641025641
fcc,3,0,WDI-1NN,mixed_spurious_timing_late,0.21885416666666668
fcc,3,0,WDI-1NN,spurious_events,0.6008854166666666
fcc,3,0,WDI-1NN,timing_uncertainty,0.6170913461538461
fcc,4,0,ACM-SVM,late_time_delay,0.16358173076923077
fcc,4,0,ACM-SVM,missing_events,0.3683613782051282
fcc,4,0,ACM-SVM,mixed_missing_spurious,0.32506410256410256
fcc,4,0,ACM-SVM,mixed_spurious_timing_late,0.1573798076923077
fcc,4,0,ACM-SVM,spurious_events,0.43103766025641027
fcc,4,0,ACM-SVM,timing_uncertainty,0.6689383012820513
fcc,4,0,CASIM-prefix,late_time_delay,0.24062500000000003
fcc,4,0,CASIM-prefix,missing_events,0.7173878205128206
fcc,4,0,CASIM-prefix,mixed_missing_spurious,0.6612219551282051
fcc,4,0,CASIM-prefix,mixed_spurious_timing_late,0.22585737179487178
fcc,4,0,CASIM-prefix,spurious_events,0.8464583333333333
fcc,4,0,CASIM-prefix,timing_uncertainty,0.9548317307692307
fcc,4,0,EAC-1NN,late_time_delay,0.36714743589743587
fcc,4,0,EAC-1NN,missing_events,0.7470753205128204
fcc,4,0,EAC-1NN,mixed_missing_spurious,0.7238341346153846
fcc,4,0,EAC-1NN,mixed_spurious_timing_late,0.3321794871794872
fcc,4,0,EAC-1NN,spurious_events,0.9013060897435897
fcc,4,0,EAC-1NN,timing_uncertainty,0.9130608974358974
fcc,4,0,JAC-1NN,late_time_delay,0.3572916666666667
fcc,4,0,JAC-1NN,missing_events,0.6898838141025642
fcc,4,0,JAC-1NN,mixed_missing_spurious,0.6809655448717948
fcc,4,0,JAC-1NN,mixed_spurious_timing_late,0.3289182692307693
fcc,4,0,JAC-1NN,spurious_events,0.8562219551282051
fcc,4,0,JAC-1NN,timing_uncertainty,0.8654727564102564
fcc,4,0,MBW-LR,late_time_delay,0.25096153846153846
fcc,4,0,MBW-LR,missing_events,0.7567147435897437
fcc,4,0,MBW-LR,mixed_missing_spurious,0.709150641025641
fcc,4,0,MBW-LR,mixed_spurious_timing_late,0.2191025641025641
fcc,4,0,MBW-LR,spurious_events,0.8790464743589743
fcc,4,0,MBW-LR,timing_uncertainty,0.9292908653846154
fcc,4,0,WDI-1NN,late_time_delay,0.20568910256410255
fcc,4,0,WDI-1NN,missing_events,0.38736778846153846
fcc,4,0,WDI-1NN,mixed_missing_spurious,0.39087339743589744
fcc,4,0,WDI-1NN,mixed_spurious_timing_late,0.20094551282051282
fcc,4,0,WDI-1NN,spurious_events,0.5946274038461539
fcc,4,0,WDI-1NN,timing_uncertainty,0.6097075320512821
