dataset,fold,repeat,method,scenario,severity,progress,score,n
fcc,0,0,ACM-SVM,late_time_delay,0.3,0.1666667,0.0625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.3,0.3333333,0.0625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.3,0.5,0.084375,3200
fcc,0,0,ACM-SVM,late_time_delay,0.3,0.6666667,0.084375,3200
fcc,0,0,ACM-SVM,late_time_delay,0.3,0.8333333,0.096875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.3,1.0,0.128125,3200
fcc,0,0,ACM-SVM,late_time_delay,0.4,0.1666667,0.071875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.4,0.3333333,0.071875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.4,0.5,0.071875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.4,0.6666667,0.0875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.4,0.8333333,0.0875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.4,1.0,0.10625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.5,0.1666667,0.0625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.5,0.3333333,0.0625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.5,0.5,0.0625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.5,0.6666667,0.0625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.5,0.8333333,0.078125,3200
fcc,0,0,ACM-SVM,late_time_delay,0.5,1.0,0.090625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.6,0.1666667,0.06875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.6,0.3333333,0.06875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.6,0.5,0.06875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.6,0.6666667,0.06875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.6,0.8333333,0.06875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.6,1.0,0.08125,3200
fcc,0,0,ACM-SVM,late_time_delay,0.7,0.1666667,0.06875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.7,0.3333333,0.06875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.7,0.5,0.06875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.7,0.6666667,0.06875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.7,0.8333333,0.06875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.7,1.0,0.078125,3200
fcc,0,0,ACM-SVM,late_time_delay,0.8,0.1666667,0.075,3200
fcc,0,0,ACM-SVM,late_time_delay,0.8,0.3333333,0.075,3200
fcc,0,0,ACM-SVM,late_time_delay,0.8,0.5,0.075,3200
fcc,0,0,ACM-SVM,late_time_delay,0.8,0.6666667,0.075,3200
fcc,0,0,ACM-SVM,late_time_delay,0.8,0.8333333,0.075,3200
fcc,0,0,ACM-SVM,late_time_delay,0.8,1.0,0.078125,3200
fcc,0,0,ACM-SVM,late_time_delay,0.9,0.1666667,0.078125,3200
fcc,0,0,ACM-SVM,late_time_delay,0.9,0.3333333,0.078125,3200
fcc,0,0,ACM-SVM,late_time_delay,0.9,0.5,0.078125,3200
fcc,0,0,ACM-SVM,late_time_delay,0.9,0.6666667,0.078125,3200
fcc,0,0,ACM-SVM,late_time_delay,0.9,0.8333333,0.078125,3200
fcc,0,0,ACM-SVM,late_time_delay,0.9,1.0,0.078125,3200
fcc,0,0,ACM-SVM,missing_events,0.0,0.1666667,0.390625,3200
fcc,0,0,ACM-SVM,missing_events,0.0,0.3333333,0.390625,3200
fcc,0,0,ACM-SVM,missing_events,0.0,0.5,0.646875,3200
fcc,0,0,ACM-SVM,missing_events,0.0,0.6666667,0.890625,3200
fcc,0,0,ACM-SVM,missing_events,0.0,0.8333333,0.975,3200
fcc,0,0,ACM-SVM,missing_events,0.0,1.0,0.978125,3200
fcc,0,0,ACM-SVM,missing_events,0.05,0.1666667,0.380625,3200
fcc,0,0,ACM-SVM,missing_events,0.05,0.3333333,0.380625,3200
fcc,0,0,ACM-SVM,missing_events,0.05,0.5,0.6275,3200
fcc,0,0,ACM-SVM,missing_events,0.05,0.6666667,0.870625,3200
fcc,0,0,ACM-SVM,missing_events,0.05,0.8333333,0.9628125,3200
fcc,0,0,ACM-SVM,missing_events,0.05,1.0,0.97,3200
fcc,0,0,ACM-SVM,missing_events,0.1,0.1666667,0.315625,3200
fcc,0,0,ACM-SVM,missing_events,0.1,0.3333333,0.315625,3200
fcc,0,0,ACM-SVM,missing_events,0.1,0.5,0.5440625,3200
fcc,0,0,ACM-SVM,missing_events,0.1,0.6666667,0.795625,3200
fcc,0,0,ACM-SVM,missing_events,0.1,0.8333333,0.9025,3200
fcc,0,0,ACM-SVM,missing_events,0.1,1.0,0.9234375,3200
fcc,0,0,ACM-SVM,missing_events,0.15,0.1666667,0.2671875,3200
fcc,0,0,ACM-SVM,missing_events,0.15,0.3333333,0.2671875,3200
fcc,0,0,ACM-SVM,missing_events,0.15,0.5,0.4571875,3200
fcc,0,0,ACM-SVM,missing_events,0.15,0.6666667,0.6975,3200
fcc,0,0,ACM-SVM,missing_events,0.15,0.8333333,0.8296875,3200
fcc,0,0,ACM-SVM,missing_events,0.15,1.0,0.8715625,3200
fcc,0,0,ACM-SVM,missing_events,0.2,0.1666667,0.2278125,3200
fcc,0,0,ACM-SVM,missing_events,0.2,0.3333333,0.2278125,3200
fcc,0,0,ACM-SVM,missing_events,0.2,0.5,0.368125,3200
fcc,0,0,ACM-SVM,missing_events,0.2,0.6666667,0.574375,3200
fcc,0,0,ACM-SVM,missing_events,0.2,0.8333333,0.728125,3200
fcc,0,0,ACM-SVM,missing_events,0.2,1.0,0.8025,3200
fcc,0,0,ACM-SVM,missing_events,0.25,0.1666667,0.204375,3200
fcc,0,0,ACM-SVM,missing_events,0.25,0.3333333,0.204375,3200
fcc,0,0,ACM-SVM,missing_events,0.25,0.5,0.3065625,3200
fcc,0,0,ACM-SVM,missing_events,0.25,0.6666667,0.470625,3200
fcc,0,0,ACM-SVM,missing_events,0.25,0.8333333,0.6353125,3200
fcc,0,0,ACM-SVM,missing_events,0.25,1.0,0.7409375,3200
fcc,0,0,ACM-SVM,missing_events,0.3,0.1666667,0.181875,3200
fcc,0,0,ACM-SVM,missing_events,0.3,0.3333333,0.181875,3200
fcc,0,0,ACM-SVM,missing_events,0.3,0.5,0.2603125,3200
fcc,0,0,ACM-SVM,missing_events,0.3,0.6666667,0.390625,3200
fcc,0,0,ACM-SVM,missing_events,0.3,0.8333333,0.52125,3200
fcc,0,0,ACM-SVM,missing_events,0.3,1.0,0.6503125,3200
fcc,0,0,ACM-SVM,missing_events,0.4,0.1666667,0.145625,3200
fcc,0,0,ACM-SVM,missing_events,0.4,0.3333333,0.145625,3200
fcc,0,0,ACM-SVM,missing_events,0.4,0.5,0.1815625,3200
fcc,0,0,ACM-SVM,missing_events,0.4,0.6666667,0.2490625,3200
fcc,0,0,ACM-SVM,missing_events,0.4,0.8333333,0.3265625,3200
fcc,0,0,ACM-SVM,missing_events,0.4,1.0,0.4415625,3200
fcc,0,0,ACM-SVM,missing_events,0.5,0.1666667,0.1209375,3200
fcc,0,0,ACM-SVM,missing_events,0.5,0.3333333,0.1209375,3200
fcc,0,0,ACM-SVM,missing_events,0.5,0.5,0.1421875,3200
fcc,0,0,ACM-SVM,missing_events,0.5,0.6666667,0.173125,3200
fcc,0,0,ACM-SVM,missing_events,0.5,0.8333333,0.215,3200
fcc,0,0,ACM-SVM,missing_events,0.5,1.0,0.276875,3200
fcc,0,0,ACM-SVM,missing_events,0.6,0.1666667,0.10125,3200
fcc,0,0,ACM-SVM,missing_events,0.6,0.3333333,0.10125,3200
fcc,0,0,ACM-SVM,missing_events,0.6,0.5,0.1140625,3200
fcc,0,0,ACM-SVM,missing_events,0.6,0.6666667,0.1290625,3200
fcc,0,0,ACM-SVM,missing_events,0.6,0.8333333,0.1534375,3200
fcc,0,0,ACM-SVM,missing_events,0.6,1.0,0.19375,3200
fcc,0,0,ACM-SVM,missing_events,0.7,0.1666667,0.09,3200
fcc,0,0,ACM-SVM,missing_events,0.7,0.3333333,0.09,3200
fcc,0,0,ACM-SVM,missing_events,0.7,0.5,0.0959375,3200
fcc,0,0,ACM-SVM,missing_events,0.7,0.6666667,0.105,3200
fcc,0,0,ACM-SVM,missing_events,0.7,0.8333333,0.111875,3200
fcc,0,0,ACM-SVM,missing_events,0.7,1.0,0.1353125,3200
fcc,0,0,ACM-SVM,missing_events,0.8,0.1666667,0.0790625,3200
fcc,0,0,ACM-SVM,missing_events,0.8,0.3333333,0.0790625,3200
fcc,0,0,ACM-SVM,missing_events,0.8,0.5,0.08,3200
fcc,0,0,ACM-SVM,missing_events,0.8,0.6666667,0.081875,3200
fcc,0,0,ACM-SVM,missing_events,0.8,0.8333333,0.085625,3200
fcc,0,0,ACM-SVM,missing_events,0.8,1.0,0.09625,3200
fcc,0,0,ACM-SVM,missing_events,0.9,0.1666667,0.06625,3200
fcc,0,0,ACM-SVM,missing_events,0.9,0.3333333,0.06625,3200
fcc,0,0,ACM-SVM,missing_events,0.9,0.5,0.065625,3200
fcc,0,0,ACM-SVM,missing_events,0.9,0.6666667,0.0659375,3200
fcc,0,0,ACM-SVM,missing_events,0.9,0.8333333,0.0659375,3200
fcc,0,0,ACM-SVM,missing_events,0.9,1.0,0.0684375,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.0,0.1666667,0.390625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.0,0.3333333,0.390625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.0,0.5,0.646875,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.0,0.6666667,0.890625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.0,0.8333333,0.975,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.0,1.0,0.978125,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.05,0.1666667,0.378125,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.05,0.3333333,0.378125,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.05,0.5,0.6175,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.05,0.6666667,0.839375,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.05,0.8333333,0.9175,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.05,1.0,0.9028125,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.1,0.1666667,0.3090625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.1,0.3333333,0.3090625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.1,0.5,0.5153125,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.1,0.6666667,0.71,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.1,0.8333333,0.7659375,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.1,1.0,0.7084375,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.15,0.1666667,0.270625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.15,0.3333333,0.270625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.15,0.5,0.428125,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.15,0.6666667,0.5896875,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.15,0.8333333,0.631875,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.15,1.0,0.5884375,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.2,0.1666667,0.2209375,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.2,0.3333333,0.2209375,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.2,0.5,0.34125,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.2,0.6666667,0.4721875,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.2,0.8333333,0.5290625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.2,1.0,0.4865625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.25,0.1666667,0.195625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.25,0.3333333,0.195625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.25,0.5,0.2684375,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.25,0.6666667,0.3865625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.25,0.8333333,0.4271875,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.25,1.0,0.39375,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.3,0.1666667,0.1878125,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.3,0.3333333,0.1878125,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.3,0.5,0.2475,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.3,0.6666667,0.3184375,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.3,0.8333333,0.3721875,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.3,1.0,0.35375,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.4,0.1666667,0.1459375,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.4,0.3333333,0.1459375,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.4,0.5,0.1803125,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.4,0.6666667,0.22375,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.4,0.8333333,0.2625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.4,1.0,0.2653125,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.5,0.1666667,0.126875,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.5,0.3333333,0.126875,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.5,0.5,0.1465625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.5,0.6666667,0.180625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.5,0.8333333,0.201875,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.5,1.0,0.21,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.6,0.1666667,0.1121875,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.6,0.3333333,0.1121875,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.6,0.5,0.1184375,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.6,0.6666667,0.1334375,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.6,0.8333333,0.1503125,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.6,1.0,0.1625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.7,0.1666667,0.0953125,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.7,0.3333333,0.0953125,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.7,0.5,0.1015625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.7,0.6666667,0.1078125,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.7,0.8333333,0.1215625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.7,1.0,0.135,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.8,0.1666667,0.0765625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.8,0.3333333,0.0765625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.8,0.5,0.08375,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.8,0.6666667,0.084375,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.8,0.8333333,0.0928125,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.8,1.0,0.106875,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.9,0.1666667,0.0665625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.9,0.3333333,0.0665625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.9,0.5,0.06625,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.9,0.6666667,0.066875,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.9,0.8333333,0.0675,3200
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.9,1.0,0.0728125,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.0,0.1666667,0.390625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.0,0.3333333,0.390625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.0,0.5,0.646875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.0,0.6666667,0.890625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.0,0.8333333,0.975,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.0,1.0,0.978125,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.05,0.1666667,0.065625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.05,0.3333333,0.065625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.05,0.5,0.12875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.05,0.6666667,0.25625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.05,0.8333333,0.375,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.05,1.0,0.4284375,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.1,0.1666667,0.063125,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.1,0.3333333,0.063125,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.1,0.5,0.1290625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.1,0.6666667,0.236875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.1,0.8333333,0.303125,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.1,1.0,0.335,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.15,0.1666667,0.0634375,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.15,0.3333333,0.0634375,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.15,0.5,0.0809375,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.15,0.6666667,0.1428125,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.15,0.8333333,0.1971875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.15,1.0,0.234375,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.2,0.1666667,0.066875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.2,0.3333333,0.066875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.2,0.5,0.0821875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.2,0.6666667,0.1103125,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.2,0.8333333,0.1103125,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.2,1.0,0.1553125,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.25,0.1666667,0.0640625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.25,0.3333333,0.0640625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.25,0.5,0.0815625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.25,0.6666667,0.0815625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.25,0.8333333,0.0978125,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.25,1.0,0.138125,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.3,0.1666667,0.0640625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.3,0.3333333,0.0640625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.3,0.5,0.08625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.3,0.6666667,0.08625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.3,0.8333333,0.1021875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.3,1.0,0.120625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.4,0.1666667,0.066875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.4,0.3333333,0.066875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.4,0.5,0.066875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.4,0.6666667,0.0875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.4,0.8333333,0.0875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.4,1.0,0.1071875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.5,0.1666667,0.0665625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.5,0.3333333,0.0665625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.5,0.5,0.0665625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.5,0.6666667,0.0665625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.5,0.8333333,0.0740625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.5,1.0,0.089375,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.6,0.1666667,0.0715625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.6,0.3333333,0.0715625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.6,0.5,0.0715625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.6,0.6666667,0.0715625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.6,0.8333333,0.0715625,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.6,1.0,0.0875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.7,0.1666667,0.0671875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.7,0.3333333,0.0671875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.7,0.5,0.0671875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.7,0.6666667,0.0671875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.7,0.8333333,0.0671875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.7,1.0,0.0775,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.8,0.1666667,0.071875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.8,0.3333333,0.071875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.8,0.5,0.071875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.8,0.6666667,0.071875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.8,0.8333333,0.071875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.8,1.0,0.0771875,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.9,0.1666667,0.068125,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.9,0.3333333,0.068125,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.9,0.5,0.068125,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.9,0.6666667,0.068125,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.9,0.8333333,0.068125,3200
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.9,1.0,0.068125,3200
fcc,0,0,ACM-SVM,spurious_events,0.0,0.1666667,0.390625,3200
fcc,0,0,ACM-SVM,spurious_events,0.0,0.3333333,0.390625,3200
fcc,0,0,ACM-SVM,spurious_events,0.0,0.5,0.646875,3200
fcc,0,0,ACM-SVM,spurious_events,0.0,0.6666667,0.890625,3200
fcc,0,0,ACM-SVM,spurious_events,0.0,0.8333333,0.975,3200
fcc,0,0,ACM-SVM,spurious_events,0.0,1.0,0.978125,3200
fcc,0,0,ACM-SVM,spurious_events,0.05,0.1666667,0.3871875,3200
fcc,0,0,ACM-SVM,spurious_events,0.05,0.3333333,0.3871875,3200
fcc,0,0,ACM-SVM,spurious_events,0.05,0.5,0.6359375,3200
fcc,0,0,ACM-SVM,spurious_events,0.05,0.6666667,0.8525,3200
fcc,0,0,ACM-SVM,spurious_events,0.05,0.8333333,0.92375,3200
fcc,0,0,ACM-SVM,spurious_events,0.05,1.0,0.904375,3200
fcc,0,0,ACM-SVM,spurious_events,0.1,0.1666667,0.3815625,3200
fcc,0,0,ACM-SVM,spurious_events,0.1,0.3333333,0.3815625,3200
fcc,0,0,ACM-SVM,spurious_events,0.1,0.5,0.5965625,3200
fcc,0,0,ACM-SVM,spurious_events,0.1,0.6666667,0.7603125,3200
